Dấu thời gian,Giới tính của bạn?,Chuyên ngành của bạn là gì?,Bạn là sinh viên năm thứ mấy?,Bạn đã từng sử dụng ứng dụng hỗ trợ AI nào dưới đây,Bạn quyết định sử các ứng dụng hỗ trợ AI dựa trên,Bạn cảm thấy dễ dàng khi sử dụng các ứng dụng hỗ trợ AI để phục vụ việc học tập  ,"Sử dụng ứng dụng AI giúp bạn đạt kết quả tốt trong lĩnh vực chuyên ngành của bạn (VD: Kinh tế quốc tế, Marketing, Công nghệ thông tin, v.v.)  ",Sử dụng ứng dụng AI đóng góp tích cực đến hiệu suất làm việc và kết quả học tập của bạn.  ,Bạn dự định sẽ tiếp tục sử dụng các ứng dụng hỗ trợ AI thường xuyên hơn để hỗ trợ mục đích học tập xuyên suốt quá trình học tập tại Đại học?  ,Tần suất sử dụng các ứng dụng hỗ trợ AI của bạn  ,Bạn đã từng ứng dụng AI vào học tập các môn nào trong quá trình học tập chưa?,"Vui lòng liệt kê một số mô tả cụ thể mà bạn đã từng tích hợp hoặc ứng dụng AI vào trong quá trình học tập của mình  (VD: Kinh tế vĩ mô, Lý thuyết xác suất và Thống kê toán, Cơ sở lập trình, v.v.) ",Bạn đã từng ứng dụng AI vào hoạt động nghiên cứu chưa?,"Vui lòng liệt kê, mô tả một số hoạt động trong nghiên cứu mà bạn đã từng tích hợp hoặc ứng dụng AI VD: Phân tích dữ liệu, viết bài, kiểm tra chính tả, tìm tài liệu  v.v. )"
1/21/2024 18:32:43,Nam,Công Nghệ Thông Tin,2,"Chat-GPT, Grammarly, Notion, Turnitin, Coursera",Đề xuất của bạn bè,5,5,5,5,Hàng ngày,Đã từng," Lý thuyết xác suất và Thống kê toán, Cơ sở lập trình",Đã từng,"Kinh tế, Công nghệ thông tin"
1/21/2024 18:56:16,Nam,Công nghệ thông tin,2,"Chat-GPT, Microsoft Copilot, Google Bard","Đề xuất của bạn bè, Gợi ý từ các nền tảng mạng xã hội",5,4,5,5,Hàng tháng,Đã từng,Cơ sở lập trình và Kinh tế vi mô,Chưa,
1/21/2024 18:56:42,Nam,IT,2,"Chat-GPT, Microsoft Copilot, Google Bard, Turnitin, GPTZero","Gợi ý từ các nền tảng mạng xã hội, Các thông tin từ các phương tiện truyền thông (báo chí ,...)",5,5,4,3,Hàng tuần,Đã từng,"Cơ sở lập trình, ...",Đã từng,"Tìm kiếm tài liệu, phân tích ..."
1/21/2024 18:59:12,Nam,IT,2,"Chat-GPT, Microsoft Copilot, Google Bard","Gợi ý từ các nền tảng mạng xã hội, Các thông tin từ các phương tiện truyền thông (báo chí ,...)",5,5,5,5,Hàng ngày,Đã từng,Nhờ AI code bài giữa kỳ CSLT và giải thích code mẫu,Đã từng,"Tìm tài liệu, kiểm tra chính tả"
1/21/2024 19:07:00,Nam,IT,2,Chat-GPT,Đề xuất của bạn bè,5,3,4,5,Hiếm khi,Đã từng,Nhiều cái chưa thèm nói đâu,Chưa,
1/21/2024 19:10:15,Nam,IT,2,"Chat-GPT, Microsoft Copilot","Gợi ý từ các nền tảng mạng xã hội, Các thông tin từ các phương tiện truyền thông (báo chí ,...)",4,3,4,3,Hàng tuần,Đã từng,Lập trình hướng đối tượng ,Chưa,
1/21/2024 19:13:04,Nữ,Công nghệ thông tin ,2,Chat-GPT,Đề xuất của bạn bè,4,3,4,5,Hàng tuần,Đã từng,"Lập trình hướng đối tượng, cơ sở lập trình,..",Chưa,
1/21/2024 19:14:04,Nam,CNTT,1,Chat-GPT,Đề xuất của bạn bè,3,3,3,3,Hàng ngày,Đã từng,"Toán rời rạc, nhập môn cntt",Chưa,
1/21/2024 19:15:29,Nam,IT,2,"Chat-GPT, Microsoft Copilot, Google Bard, Notion","Đề xuất của bạn bè, Các thông tin từ các phương tiện truyền thông (báo chí ,...)",5,3,4,4,Hàng ngày,Đã từng,Dùng AI viết những đoạn code cơ bản hoặc giải Toán ở môn Đại số hoặc Lý Thuyết Xác suất thống kê,Đã từng,"Tìm tài liệu,bài báo liên quan tới chủ đề mình đag nghiên cứu"
1/21/2024 19:17:23,Nam,cntt,1,"Chat-GPT, Google Bard, Grammarly","Đề xuất của bạn bè, Gợi ý từ các nền tảng mạng xã hội, Các thông tin từ các phương tiện truyền thông (báo chí ,...)",3,3,3,4,Hiếm khi,Đã từng,sử dụng để biết nhanh một số thông tin đơn giản dừng ở mức khái niệm lý thuyết,Đã từng,cách để có 1 chế độ ăn uống cân bằng phù hợp cho việc tập tành và cách chơi thuốc hiệu quả mà đúng liều lượng :))
1/21/2024 19:17:32,Nam,IT,2,"Chat-GPT, Microsoft Copilot, Google Bard, Notion, Coursera","Gợi ý từ các nền tảng mạng xã hội, Các thông tin từ các phương tiện truyền thông (báo chí ,...)",3,3,3,3,Hàng ngày,Đã từng,Thiết kế web,Đã từng,Phân tích dữ liệu
1/21/2024 19:19:05,Nữ,Hệ thống thông tin quản lý,3,"Chat-GPT, Google Bard, Grammarly","Đề xuất của bạn bè, Gợi ý từ các nền tảng mạng xã hội",5,4,5,5,Hàng tuần,Đã từng,"Triết học, quản tri tri thức,...",Chưa,
1/21/2024 19:20:39,Nữ,Công Nghệ Thông Tin,2,"Chat-GPT, Grammarly, Notion, Turnitin, Coursera","Gợi ý từ các nền tảng mạng xã hội, Các thông tin từ các phương tiện truyền thông (báo chí ,...)",4,3,4,4,Hàng tuần,Đã từng,"Sử dụng Notion để lưu trữ thông tin bài học. Bên cạnh đó, sử dụng Chat GPT để giải bài toán, đưa ra gợi ý hoặc tìm hiểu thêm thông tin về vấn đề đang mắc phải",Chưa,
1/21/2024 19:21:10,Nam,Công Nghệ Thông Tin,2,Microsoft Copilot,Đề xuất của bạn bè,4,3,5,4,Hiếm khi,Chưa,,Chưa,
1/21/2024 19:21:34,Nữ,Tài chính Doanh nghiệp,4,"Chat-GPT, Microsoft Copilot, Google Bard","Đề xuất của bạn bè, Gợi ý từ các nền tảng mạng xã hội, Các thông tin từ các phương tiện truyền thông (báo chí ,...)",5,4,5,5,Hàng tuần,Đã từng,Khởi sự kinh doanh,Đã từng,Tìm tài liệu
1/21/2024 19:21:35,Nam,CNTT,1,"Chat-GPT, Grammarly",Gợi ý từ các nền tảng mạng xã hội,3,2,3,3,Hàng tháng,Chưa,,Chưa,
1/21/2024 19:24:47,Nam,Công nghệ thông tin,3,"Chat-GPT, Microsoft Copilot, Google Bard, Grammarly, Notion, Turnitin, Coursera","Đề xuất của bạn bè, Gợi ý từ các nền tảng mạng xã hội, Các thông tin từ các phương tiện truyền thông (báo chí ,...)",5,5,5,5,Hàng tuần,Đã từng,,Chưa,
1/21/2024 19:26:49,Nữ,Khoa học máy tính,1,Chat-GPT,Đề xuất của bạn bè,5,3,3,5,Hàng tuần,Đã từng,Toán rr,Chưa,
1/21/2024 19:30:51,Nam,IT,4,"Chat-GPT, Google Bard, Grammarly, Notion",Tự tìm hiểu tự biết ,4,4,4,3,Hàng ngày,Đã từng,Bảo poe generate code web reactjs,Chưa,
1/21/2024 19:30:53,Nam,Khoa học Máy tính ,2,Chat-GPT,"Các thông tin từ các phương tiện truyền thông (báo chí ,...)",4,3,4,4,Hiếm khi,Đã từng,,Chưa,
1/21/2024 19:33:55,Nam,IT,3,"Chat-GPT, Microsoft Copilot, Google Bard, Grammarly, Notion, Turnitin","Gợi ý từ các nền tảng mạng xã hội, Các thông tin từ các phương tiện truyền thông (báo chí ,...)",4,4,4,5,Hiếm khi,Đã từng,,Đã từng,
1/21/2024 19:36:57,Nam,Khoa học máy tinh,1,Microsoft Copilot,"Các thông tin từ các phương tiện truyền thông (báo chí ,...)",4,3,3,4,Hàng ngày,Đã từng,Cơ sở lập trình,Chưa,
1/21/2024 19:42:12,Nữ,MIS,3,"Chat-GPT, Google Bard, Grammarly, Notion","Gợi ý từ các nền tảng mạng xã hội, Các thông tin từ các phương tiện truyền thông (báo chí ,...)",3,4,4,4,Hàng tuần,Đã từng,"LTPTDL, QLNN, KTDN",Đã từng,Kiểm tra ngữ pháp tiếng anh
1/21/2024 19:42:51,Nữ,IT,2,Chat-GPT,"Đề xuất của bạn bè, Gợi ý từ các nền tảng mạng xã hội, Các thông tin từ các phương tiện truyền thông (báo chí ,...)",3,3,3,3,Hàng ngày,Đã từng,,Chưa,
1/21/2024 19:43:31,Nam,Cntt,2,"Chat-GPT, Google Bard, Grammarly","Các thông tin từ các phương tiện truyền thông (báo chí ,...)",4,3,3,3,Hàng tuần,Đã từng,Lý thuyết thống kê,Chưa,
1/21/2024 19:43:50,Nữ,Quan hệ công chúng,3,"Chat-GPT, Microsoft Copilot","Đề xuất của bạn bè, Gợi ý từ các nền tảng mạng xã hội, Các thông tin từ các phương tiện truyền thông (báo chí ,...)",5,5,5,5,Hàng tuần,Đã từng,Mình hỏi xong AI trả lời thôi. ,Chưa,
1/21/2024 19:44:35,Nam,công nghệ thông tin,3,"Chat-GPT, Microsoft Copilot, Google Bard","Đề xuất của bạn bè, Gợi ý từ các nền tảng mạng xã hội, Các thông tin từ các phương tiện truyền thông (báo chí ,...)",4,4,4,4,Hàng ngày,Đã từng,Tất cả các môn lập trình,Chưa,
1/21/2024 19:44:42,Nam,IT,1,"Chat-GPT, Microsoft Copilot, Coursera",Gợi ý từ các nền tảng mạng xã hội,4,2,4,4,Hàng ngày,Đã từng,"Kinh tế vi mô, kinh tế vĩ mô, pháp luật đại cương, học c++",Chưa,
1/21/2024 19:44:51,Nam,Khoa học máy tính ,1,"Chat-GPT, Google Bard","Đề xuất của bạn bè, Các thông tin từ các phương tiện truyền thông (báo chí ,...)",4,4,5,4,Hàng ngày,Đã từng,Nhập môn CNTT,Chưa,
1/21/2024 19:45:58,Nữ,IT,1,"Chat-GPT, Microsoft Copilot, Google Bard","Đề xuất của bạn bè, Gợi ý từ các nền tảng mạng xã hội, Các thông tin từ các phương tiện truyền thông (báo chí ,...)",4,3,4,4,Hàng ngày,Đã từng,"Kinh tế vi mô, Vật lý đại cương...",Đã từng,"Tìm tài liệu, viết luận"
1/21/2024 19:46:19,Nữ,Cntt,2,Chat-GPT,"Các thông tin từ các phương tiện truyền thông (báo chí ,...)",4,4,4,4,Hàng tuần,Đã từng,"Viết luận môn triết,...",Đã từng,"Kiểm tra chỉnh tả , phân tích"
1/21/2024 19:46:25,Nữ,QTNL,2,"Chat-GPT, Grammarly, Notion, Coursera","Đề xuất của bạn bè, Gợi ý từ các nền tảng mạng xã hội, Các thông tin từ các phương tiện truyền thông (báo chí ,...)",4,4,4,5,Hàng ngày,Đã từng,"Kinh tế vĩ mô, KDQT, KTĐT, Quản trị vận hành,...",Đã từng,Tìm tài liệu số liệu
1/21/2024 19:46:36,Nam,Công nghệ thông tin,3,"Chat-GPT, Microsoft Copilot, Google Bard","Gợi ý từ các nền tảng mạng xã hội, Các thông tin từ các phương tiện truyền thông (báo chí ,...)",5,5,5,5,Hàng ngày,Đã từng,"Mạng máy tính, lập trình web, hệ quản trị cơ sở dữ liệu ...",Đã từng,"Phân tích dữ liệu, lên ý tưởng ..."
1/21/2024 19:47:50,Nữ,Hệ thống thông tin quản lý,2,"Chat-GPT, Grammarly, Notion, Turnitin, Coursera","Đề xuất của bạn bè, Gợi ý từ các nền tảng mạng xã hội",5,4,5,5,Hàng tuần,Đã từng,"Cơ sở lập trình, Thống kê trong kinh tế và kinh doanh",Chưa,
1/21/2024 19:55:19,Nữ,CNTT&CDS,1,"Chat-GPT, Grammarly","Gợi ý từ các nền tảng mạng xã hội, Các thông tin từ các phương tiện truyền thông (báo chí ,...)",5,4,5,5,Hàng tuần,Đã từng,Ngập môn Công nghệ thông tin,Chưa,
1/21/2024 19:56:04,Nữ,CNTT,3,"Chat-GPT, Microsoft Copilot, Grammarly, Notion, Coursera",Đề xuất của bạn bè,3,4,4,4,Hàng tuần,Đã từng,"quản trị mạng, quản trị csdl,....",Chưa,
1/21/2024 19:56:17,Nữ,Thương mại điện tử,5,"Chat-GPT, Grammarly, Notion, Turnitin","Đề xuất của bạn bè, Gợi ý từ các nền tảng mạng xã hội, Các thông tin từ các phương tiện truyền thông (báo chí ,...)",5,4,4,4,Hàng ngày,Đã từng,,Chưa,
1/21/2024 19:58:34,Nữ,Giáo dục,4,Chat-GPT,"Các thông tin từ các phương tiện truyền thông (báo chí ,...)",4,4,4,4,Hàng tháng,Đã từng,Soạn kế hoạch bài dạy,Chưa,
1/21/2024 19:58:40,Nữ,Quản trị nhân lực,2,"Chat-GPT, Microsoft Copilot, Grammarly, Notion","Gợi ý từ các nền tảng mạng xã hội, Các thông tin từ các phương tiện truyền thông (báo chí ,...)",4,4,3,4,Hàng tuần,Đã từng,"Quản lý học, hành vi tổ chức, triết học, ...",Chưa,
1/21/2024 20:00:36,Nữ,Thống kê,2,"Chat-GPT, Grammarly, Turnitin","Đề xuất của bạn bè, Gợi ý từ các nền tảng mạng xã hội, Các thông tin từ các phương tiện truyền thông (báo chí ,...)",4,5,4,5,Hàng tuần,Đã từng,,Chưa,
1/21/2024 20:02:35,Nữ,Hệ thống thông tin quản lý ,4,"Chat-GPT, Google Bard, Turnitin","Đề xuất của bạn bè, Gợi ý từ các nền tảng mạng xã hội, Các thông tin từ các phương tiện truyền thông (báo chí ,...)",4,4,4,4,Hàng ngày,Đã từng,"Cơ sở lập trình, cơ sở dữ liệu, lập trình nâng cao",Chưa,
1/21/2024 20:03:36,Nữ,Công nghệ thông ti ,3,"Chat-GPT, Google Bard","Đề xuất của bạn bè, Gợi ý từ các nền tảng mạng xã hội, Các thông tin từ các phương tiện truyền thông (báo chí ,...)",1,3,2,1,Hàng tuần,Đã từng,Những môn lý thuyết nhiều như Quản trị tri thức - Quand lí học ...,Chưa,
1/21/2024 20:06:22,Nữ,Kiểm toán,4,"Chat-GPT, Grammarly, Notion","Đề xuất của bạn bè, Gợi ý từ các nền tảng mạng xã hội, Các thông tin từ các phương tiện truyền thông (báo chí ,...)",4,4,3,4,Hàng tuần,Đã từng,,Đã từng,
1/21/2024 20:08:28,Nam,CNTT,2,"Chat-GPT, Grammarly","Các thông tin từ các phương tiện truyền thông (báo chí ,...)",5,5,5,5,Hàng ngày,Đã từng,Mỗi khi đọc 1 khái niệm mới mà mình không chắc mình hiểu đúng hay sai thì mình sẽ hỏi chatgpt để làm rõ,Chưa,
1/21/2024 20:10:16,Nữ,IT,2,Chat-GPT,Gợi ý từ các nền tảng mạng xã hội,5,3,3,5,Hàng tháng,Đã từng,"cơ sở lập trình, cơ sở dữ liệu, kinh tế chính trị mác lênin",Chưa,
1/21/2024 20:10:39,Nam,CNTT,3,Chat-GPT,"Đề xuất của bạn bè, Gợi ý từ các nền tảng mạng xã hội, Các thông tin từ các phương tiện truyền thông (báo chí ,...)",3,3,3,3,Hàng tuần,Đã từng,KTVM,Chưa,
1/21/2024 20:11:05,Nam,IT,2,"Chat-GPT, Microsoft Copilot, Grammarly","Gợi ý từ các nền tảng mạng xã hội, Các thông tin từ các phương tiện truyền thông (báo chí ,...)",4,4,4,5,Hàng ngày,Đã từng,,Chưa,
1/21/2024 20:11:11,Nữ,Luật,3,"Chat-GPT, Google Bard, Coursera, Edx","Đề xuất của bạn bè, Các thông tin từ các phương tiện truyền thông (báo chí ,...)",5,3,5,5,Hàng tuần,Đã từng,Nó giúp e viết bài luận tiếng Anh á chị em dùng để tổng hợp cho nhanh thui chứ văn của AI em vẫn thấy ko tự nhiên lắm,Chưa,
1/21/2024 20:11:34,Nữ,Ngôn ngữ anh,1,Chat-GPT,"Đề xuất của bạn bè, Gợi ý từ các nền tảng mạng xã hội, Các thông tin từ các phương tiện truyền thông (báo chí ,...)",4,2,2,2,Hàng tháng,Đã từng,"Thi triết tra chatgpt đc 7₫, tưởng ngon lành cành đào ai ngờ.....",Đã từng,E k nhớ 
1/21/2024 20:14:16,Nam,Tài Chính Doanh Nghiệp,2,"Chat-GPT, Google Bard, Turnitin","Các thông tin từ các phương tiện truyền thông (báo chí ,...)",3,2,2,4,Hiếm khi,Chưa,,Đã từng,"Tìm tài liệu, phân tích thuật toán"
1/21/2024 20:16:03,Nam,Công nghệ thông tin,2,"Chat-GPT, Microsoft Copilot, Grammarly, Turnitin","Các thông tin từ các phương tiện truyền thông (báo chí ,...)",3,3,4,4,Hàng tuần,Đã từng,"Sử dụng AI để tìm hiểu các khái niệm, định nghĩa trong giờ học, như các ",Đã từng,"Tìm kiếm các tài liệu, hay nội dung các hoạt động nghiên cứu cùng chủ đề"
1/21/2024 20:16:51,Nam,Khoa học máy tính,1,"Chat-GPT, Microsoft Copilot","Các thông tin từ các phương tiện truyền thông (báo chí ,...)",5,5,5,5,Hàng tuần,Chưa,,Chưa,
1/21/2024 20:18:05,Nam,Luật Kinh tế,4,"Chat-GPT, Microsoft Copilot, Google Bard, Grammarly",Gợi ý từ các nền tảng mạng xã hội,4,2,3,5,Hàng tuần,Đã từng,Sử dụng AI để tìm kiếm và soạn thảo nội dung hợp đồng,Đã từng,"Nghiên cứu thông số, thành phần của gạo để viết hợp đồng"
1/21/2024 20:18:10,Nữ,QTKd,3,Chat-GPT,Đề xuất của bạn bè,3,2,3,4,Hiếm khi,Đã từng,Kinh doanh quốc tế Quản trị tài chính ,Đã từng,NCKH
1/21/2024 20:18:49,Nam,Computer Science,4,"Chat-GPT, Microsoft Copilot","Đề xuất của bạn bè, Các thông tin từ các phương tiện truyền thông (báo chí ,...)",5,5,5,5,Hàng ngày,Đã từng,,Đã từng,
1/21/2024 20:18:56,Nam,Công nghệ thông tin,2,"Chat-GPT, Microsoft Copilot, Google Bard, Grammarly","Các thông tin từ các phương tiện truyền thông (báo chí ,...)",5,5,5,5,Hàng tuần,Đã từng,Cơ sở lập trình,Chưa,
1/21/2024 20:18:58,Nam,HTTTQL,2,Stable Diffusion,"Gợi ý từ các nền tảng mạng xã hội, Các thông tin từ các phương tiện truyền thông (báo chí ,...)",4,2,4,2,Hiếm khi,Đã từng,Kiến trúc dữ liệu,Chưa,
1/21/2024 20:20:41,Nữ,Công nghệ thông tin,2,"Chat-GPT, Google Bard, Grammarly, Notion",Đề xuất của bạn bè,4,2,5,5,Hàng ngày,Đã từng,"Kinh tế vi mô, Cơ sở lập trình, Lập trình Java, Lập trình Python, Cơ sở dữ liệu",Đã từng,"Kiểm tra chính tả, Tính toán dữ liệu, tìm nguồn tài liệu."
1/21/2024 20:21:11,Nữ,Logistics và quản lý chuỗi cug ứng,2,"Chat-GPT, Google Bard, Poe","Đề xuất của bạn bè, Gợi ý từ các nền tảng mạng xã hội, Các thông tin từ các phương tiện truyền thông (báo chí ,...)",4,3,4,4,Hàng tuần,Đã từng,"Hội nhập ktqt, quản trị kinh doanh, kinh doanh thương mại, quả trị chuỗi cung ưngd quốc tế, logistics căn bản, đia lý kinh tế",Chưa,
1/21/2024 20:22:23,Nữ,Công nghệ thông tin ,2,"Chat-GPT, Google Bard","Đề xuất của bạn bè, Các thông tin từ các phương tiện truyền thông (báo chí ,...)",4,4,4,4,Hàng ngày,Đã từng,"Kinh tế vi mô , hệ thống thông tin quản lý, lập trình hướng đối tượng…",Chưa,
1/21/2024 20:22:46,Nam,toán,2,Chat-GPT,"Gợi ý từ các nền tảng mạng xã hội, Các thông tin từ các phương tiện truyền thông (báo chí ,...)",4,4,3,3,Hàng ngày,Đã từng,"Triết học, Kinh tế chính trị, Chủ nghĩa xã hội khoa học...",Chưa,
1/21/2024 20:23:33,Nam,Quản trị Nhân lực,1,"Chat-GPT, Microsoft Copilot","Đề xuất của bạn bè, Gợi ý từ các nền tảng mạng xã hội",4,4,5,4,Hàng tuần,Đã từng,"Pháp luật đạo cương, kinh tế vĩ mô",Chưa,
1/21/2024 20:26:01,Nữ,Sư phạm,2,"Chat-GPT, Microsoft Copilot, Google Bard, Turnitin, GPTZero","Gợi ý từ các nền tảng mạng xã hội, Các thông tin từ các phương tiện truyền thông (báo chí ,...)",4,3,4,3,Hàng tháng,Đã từng,"xác suất, đo vẽ bản đồ GIS",Chưa,
1/21/2024 20:26:47,Nam,Xây dựng,2,Chat-GPT,Đề xuất của bạn bè,5,5,5,5,Hàng tháng,Đã từng,họa hình,Chưa,
1/21/2024 20:29:33,Nữ,QTKD ,3,"Chat-GPT, Turnitin","Đề xuất của bạn bè, Gợi ý từ các nền tảng mạng xã hội, Các thông tin từ các phương tiện truyền thông (báo chí ,...)",5,5,5,5,Hàng ngày,Đã từng,,Đã từng,
1/21/2024 20:29:41,Nữ,Truyền thông Đại chúng,2,"Grammarly, Notion","Đề xuất của bạn bè, Gợi ý từ các nền tảng mạng xã hội, Các thông tin từ các phương tiện truyền thông (báo chí ,...)",3,3,3,3,Hiếm khi,Chưa,,Chưa,
1/21/2024 20:30:38,Nam,Tài chính,2,Chat-GPT,"Đề xuất của bạn bè, Các thông tin từ các phương tiện truyền thông (báo chí ,...)",5,5,5,5,Hàng ngày,Đã từng,nhiều thế,Đã từng,viết bài
1/21/2024 20:31:44,Nam,Quản trị kinh doanh,2,"Chat-GPT, Google Bard, Grammarly, Notion, Bing AI","Đề xuất của bạn bè, Gợi ý từ các nền tảng mạng xã hội, Các thông tin từ các phương tiện truyền thông (báo chí ,...)",5,5,5,5,Hàng tuần,Đã từng,"Tư tưởng hồ chí minh, Chủ nghĩa xã hội khoa học",Chưa,
1/21/2024 20:31:45,Nam,CNTT,1,"Chat-GPT, Bard","Đề xuất của bạn bè, Gợi ý từ các nền tảng mạng xã hội",5,5,5,5,Hàng ngày,Đã từng,Trả câu hỏi,Chưa,
1/21/2024 20:33:04,Nam,Khoa học máy tính,2,Chat-GPT,"Gợi ý từ các nền tảng mạng xã hội, Các thông tin từ các phương tiện truyền thông (báo chí ,...)",4,4,3,4,Hàng ngày,Đã từng,Cấu trúc dữ liệu và giải thuật,Chưa,
1/21/2024 20:34:46,Nữ,Hệ thống thông tin quản lý,3,"Chat-GPT, Grammarly, Notion","Đề xuất của bạn bè, Gợi ý từ các nền tảng mạng xã hội, Các thông tin từ các phương tiện truyền thông (báo chí ,...)",4,4,4,4,Hàng ngày,Đã từng,Kinh tế Vĩ mô,Đã từng,Phân tích dữ liệu
1/21/2024 20:36:50,Nữ,Tài chính - Ngân hàng ,2,Google Bard,Đề xuất của bạn bè,3,4,3,4,Hàng tuần,Đã từng,"Quản trị học, Kinh doanh quốc tế ",Chưa,
1/21/2024 20:38:06,Nữ,Hệ thống thông tin quản lý,2,"Chat-GPT, Microsoft Copilot, Google Bard, Grammarly, Notion, Turnitin",Đề xuất của bạn bè,4,5,5,5,Hàng tuần,Đã từng,Giải quyết các bài toán xác suất và thống kê,Chưa,
1/21/2024 20:38:18,Nữ,Truyền thông Đa phương tiện,2,"Chat-GPT, Google Bard, Notion","Đề xuất của bạn bè, Gợi ý từ các nền tảng mạng xã hội, Các thông tin từ các phương tiện truyền thông (báo chí ,...)",5,5,5,5,Hàng tuần,Đã từng,- Học từ vựng,Chưa,
1/21/2024 20:38:34,Nam,CNTT,1,"Chat-GPT, Grammarly, Notion, Coursera","Các thông tin từ các phương tiện truyền thông (báo chí ,...)",4,4,4,4,Hàng tuần,Đã từng,Vật lý đại cương,Chưa,
1/21/2024 20:40:12,Nam,Cntt,2,"Chat-GPT, Microsoft Copilot, Google Bard, Turnitin","Đề xuất của bạn bè, Gợi ý từ các nền tảng mạng xã hội, Các thông tin từ các phương tiện truyền thông (báo chí ,...)",4,4,4,5,Hàng tuần,Đã từng,Cơ sở lập trình,Chưa,
1/21/2024 20:42:18,Nữ,Kinh doanh thương mại,2,Chat-GPT,"Các thông tin từ các phương tiện truyền thông (báo chí ,...)",4,3,3,2,Hiếm khi,Đã từng,"Thương mại quốc tế, Kinh tế thương mại, Nguyên lý kế toán",Chưa,
1/21/2024 20:43:59,Nam,KHMT,1,"Chat-GPT, Microsoft Copilot, Google Bard, ChatSonic ",Của trình duyệt,5,4,5,4,Hàng tuần,Đã từng,Nhập môn CNTT,Chưa,
1/21/2024 20:44:24,Nam,khmt,1,"Chat-GPT, Google Bard","Đề xuất của bạn bè, Gợi ý từ các nền tảng mạng xã hội",3,3,4,4,Hàng tuần,Đã từng,vật lý đại cương,Đã từng,tìm tài liệu
1/21/2024 20:44:50,Nữ,Hệ thống thông tin quản lý ,2,"Chat-GPT, Grammarly, Turnitin, Coursera, Edx","Đề xuất của bạn bè, Gợi ý từ các nền tảng mạng xã hội, Các thông tin từ các phương tiện truyền thông (báo chí ,...)",4,4,4,5,Hàng tuần,Đã từng,Cơ sở lập trình ,Chưa,
