Dấu thời gian,Giới tính của bạn?,Chuyên ngành của bạn là gì?,Bạn là sinh viên năm thứ mấy?,Bạn đã từng sử dụng ứng dụng hỗ trợ AI nào dưới đây,Bạn quyết định sử các ứng dụng hỗ trợ AI dựa trên,Bạn cảm thấy dễ dàng khi sử dụng các ứng dụng hỗ trợ AI để phục vụ việc học tập  ,"Sử dụng ứng dụng AI giúp bạn đạt kết quả tốt trong lĩnh vực chuyên ngành của bạn (VD: Kinh tế quốc tế, Marketing, Công nghệ thông tin, v.v.)  ",Sử dụng ứng dụng AI đóng góp tích cực đến hiệu suất làm việc và kết quả học tập của bạn.  ,Bạn dự định sẽ tiếp tục sử dụng các ứng dụng hỗ trợ AI thường xuyên hơn để hỗ trợ mục đích học tập xuyên suốt quá trình học tập tại Đại học?  ,Tần suất sử dụng các ứng dụng hỗ trợ AI của bạn  ,Bạn đã từng ứng dụng AI vào học tập các môn nào trong quá trình học tập chưa?,"Vui lòng liệt kê một số mô tả cụ thể mà bạn đã từng tích hợp hoặc ứng dụng AI vào trong quá trình học tập của mình  (VD: Kinh tế vĩ mô, Lý thuyết xác suất và Thống kê toán, Cơ sở lập trình, v.v.) ",Bạn đã từng ứng dụng AI vào hoạt động nghiên cứu chưa?,"Vui lòng liệt kê, mô tả một số hoạt động trong nghiên cứu mà bạn đã từng tích hợp hoặc ứng dụng AI VD: Phân tích dữ liệu, viết bài, kiểm tra chính tả, tìm tài liệu  v.v. )"
1/21/2024 20:45:17,Nam,Khoa học máy tính,1,"Chat-GPT, Google Bard","Đề xuất của bạn bè, Gợi ý từ các nền tảng mạng xã hội, Các thông tin từ các phương tiện truyền thông (báo chí ,...)",3,3,3,3,Hàng ngày,Đã từng,,Chưa,
1/21/2024 20:47:26,Nữ,khoa học máy tính ,2,"Chat-GPT, Microsoft Copilot, Google Bard, Notion, Turnitin",Đề xuất của bạn bè,5,4,5,5,Hàng ngày,Đã từng,"cơ sở lập trình, lập trình hướng đối tượng,....",Chưa,
1/21/2024 20:48:05,Nữ,Hệ thống thông tin,2,"Chat-GPT, Coursera","Đề xuất của bạn bè, Gợi ý từ các nền tảng mạng xã hội, Các thông tin từ các phương tiện truyền thông (báo chí ,...)",3,3,3,4,Hàng tuần,Đã từng,Lý thuyết tất cả các môn,Đã từng,Check code
1/21/2024 20:48:43,Nam,IT,1,"Chat-GPT, Microsoft Copilot","Đề xuất của bạn bè, Gợi ý từ các nền tảng mạng xã hội",3,3,3,4,Hàng ngày,Đã từng,toán rời rạc,Chưa,
1/21/2024 20:49:45,Nữ,Quản trị kinh doanh,2,"Chat-GPT, Notion","Đề xuất của bạn bè, Gợi ý từ các nền tảng mạng xã hội, Các thông tin từ các phương tiện truyền thông (báo chí ,...)",3,3,3,3,Hiếm khi,Đã từng,Triết,Đã từng,Làm luận 
1/21/2024 20:50:06,Nam,Công nghệ thông tin,1,"Chat-GPT, Microsoft Copilot, Google Bard, Grammarly, Notion","Đề xuất của bạn bè, Gợi ý từ các nền tảng mạng xã hội, Các thông tin từ các phương tiện truyền thông (báo chí ,...)",4,4,4,4,Hàng ngày,Đã từng,,Chưa,
1/21/2024 20:50:34,Nữ,Hệ thống thông tin quản lý ,3,"Chat-GPT, Notion","Đề xuất của bạn bè, Các thông tin từ các phương tiện truyền thông (báo chí ,...)",4,4,4,4,Hàng ngày,Đã từng,"Toán, Cơ sở lập trình, Cơ sở dữ liệu,...",Chưa,
1/21/2024 20:51:35,Nam,An toàn thông tin,2,"Chat-GPT, Turnitin, GPTZero, Coursera",tìm hiểu về công dụng độ chính xác,4,4,4,4,Hàng tuần,Đã từng,mình có code 1 project và đa phần mình Ctrl + C và Ctrl+V code từ các ứng dụng AI rồi chinh sửa 1 cách hợp lý,Đã từng,tìm tài liệu là chính 
1/21/2024 20:55:31,Nữ,Khoa học máy tính,1,"Google Bard, Coursera",Gợi ý từ các nền tảng mạng xã hội,3,2,2,2,Hiếm khi,Chưa,,Chưa,
1/21/2024 20:56:47,Nam,tài chính ngân hàng,2,"Chat-GPT, Microsoft Copilot, Grammarly","Đề xuất của bạn bè, Các thông tin từ các phương tiện truyền thông (báo chí ,...)",5,4,4,4,Hàng tháng,Đã từng,"Kinh tế vĩ mỗ, thống kê toán",Đã từng,viết bài
1/21/2024 20:57:15,Nam,Khoa học máy tính,1,"Chat-GPT, Google Bard",Đề xuất của bạn bè,4,4,4,4,Hàng tuần,Đã từng,Nhập môn công nghệ thông tin,Chưa,
1/21/2024 20:58:38,Nam,CNTT,3,"Chat-GPT, Google Bard","Gợi ý từ các nền tảng mạng xã hội, Các thông tin từ các phương tiện truyền thông (báo chí ,...)",5,4,4,5,Hàng ngày,Đã từng,"Trí tuệ nhân tạo, Các công nghệ hiện đại trong công nghệ thông tin, Tư tưởng Hồ Chí Minh, Hệ thống thông tin quản lý",Chưa,
1/21/2024 21:00:54,Nữ,Du lịch,2,Chat-GPT,"Đề xuất của bạn bè, Gợi ý từ các nền tảng mạng xã hội",4,3,4,5,Hàng tuần,Đã từng,các môn liên quan đến du lịch,Đã từng,"kiểm tra chính tả, liệt kê ý chính, các bước nghiên cứ cụ thể"
1/21/2024 21:01:11,Nam,Vật liệu,2,Chat-GPT,"Các thông tin từ các phương tiện truyền thông (báo chí ,...)",5,5,5,3,Hàng tháng,Đã từng,Thiết kế hệ thống nhúng,Đã từng,
1/21/2024 21:02:41,Nam,Công nghệ thông tin,1,"Chat-GPT, Microsoft Copilot, Grammarly, Turnitin","Đề xuất của bạn bè, Các thông tin từ các phương tiện truyền thông (báo chí ,...)",5,5,5,5,Hàng ngày,Đã từng,Toán rời rạc,Đã từng,Tìm nguồn thông tin
1/21/2024 21:02:50,Nam,Khoa học dữ liệu trong kinh tế và kinh doanh(DSEB),1,Chat-GPT,"Đề xuất của bạn bè, Các thông tin từ các phương tiện truyền thông (báo chí ,...)",4,3,4,4,Hàng tuần,Đã từng,"Dùng để paraphrase, làm bài writing E100",Chưa,
1/21/2024 21:03:02,Nữ,CNTT và Chuyển đổi số CLC,2,"Chat-GPT, Grammarly, Notion, Coursera","Đề xuất của bạn bè, Gợi ý từ các nền tảng mạng xã hội, Các thông tin từ các phương tiện truyền thông (báo chí ,...)",5,4,5,5,Hàng ngày,Đã từng,"sử dụng notion để ghi chú công việc, lập kế hoạch, ghi chép và học từ vựng",Chưa,
1/21/2024 21:04:18,Nam,cntt,3,"Chat-GPT, Microsoft Copilot, Turnitin","Đề xuất của bạn bè, Các thông tin từ các phương tiện truyền thông (báo chí ,...)",5,5,5,5,Hàng tuần,Đã từng,Lập trình ,Đã từng,Phân tích dữ liệu
1/21/2024 21:05:17,Nữ,KTPT,3,"Chat-GPT, Grammarly, Turnitin","Đề xuất của bạn bè, Các thông tin từ các phương tiện truyền thông (báo chí ,...)",5,4,4,5,Hàng tuần,Đã từng,"Tiếng Anh, Phương pháp nghiên cứu, Kinh tế vĩ mô",Đã từng,"Viết bài, kiểm tra chính tả, tìm tài liệu"
1/21/2024 21:07:33,Nam,DKTDH,2,"Chat-GPT, bing",Đề xuất của bạn bè,3,1,2,2,Hiếm khi,Đã từng,cntt nâng cao kinh tế chính trrij,Chưa,
1/21/2024 21:08:45,Nam,Khoa học máy tính,1,"Chat-GPT, Microsoft Copilot","Đề xuất của bạn bè, Các thông tin từ các phương tiện truyền thông (báo chí ,...)",4,3,4,4,Hàng tuần,Đã từng,"Tìm hiểu các định lí, định nghĩa, chứng minh của các vấn đề trong môn đại số và giải tích.",Chưa,
1/21/2024 21:09:02,Nam,IT,1,"Chat-GPT, Grammarly","Đề xuất của bạn bè, Gợi ý từ các nền tảng mạng xã hội, Các thông tin từ các phương tiện truyền thông (báo chí ,...)",3,3,4,4,Hàng tuần,Đã từng,"nhập môn CNTT, Kinh tế vi mô, vật lí đại cương ",Đã từng,tìm tài liệu 
1/21/2024 21:11:44,Nữ,Marketing,2,"Chat-GPT, Microsoft Copilot, Grammarly, Google assistant, Dall-e3","Gợi ý từ các nền tảng mạng xã hội, Điện thoại có sẵn app nên dùng",4,4,3,5,Hàng ngày,Đã từng,"Mình dùng AI để tạo ra hình minh họa cho các bài tập cần dùng, mình đặt các câu hỏi về Marketing, cơ sở lập trình cho AI",Chưa,
1/21/2024 21:11:50,Nam,IT,1,"Chat-GPT, poe.com","Đề xuất của bạn bè, Gợi ý từ các nền tảng mạng xã hội",3,3,3,3,Hàng tháng,Đã từng,giải bài tập,Chưa,
1/21/2024 21:16:48,Nam,CNTT,1,"Chat-GPT, ",,3,3,3,3,Chưa sử dụng,Chưa,,Chưa,
1/21/2024 21:17:08,Nam,Tài chính,2,Chat-GPT,"Đề xuất của bạn bè, Gợi ý từ các nền tảng mạng xã hội, Các thông tin từ các phương tiện truyền thông (báo chí ,...)",5,5,5,5,Hàng tuần,Đã từng,"Kinh tế số, Tiền tệ quốc tế",Đã từng,"Tìm tài liệu, viết luận"
1/21/2024 21:22:29,Nam,Công nghệ thông tin,3,"Chat-GPT, Microsoft Copilot, Google Bard","Các thông tin từ các phương tiện truyền thông (báo chí ,...)",4,3,3,4,Hàng tuần,Đã từng,Lý thuyết Thương mại điện tử,Chưa,
1/21/2024 21:23:39,Nữ,Khoa học mây tính,2,"Chat-GPT, Google Bard",Đề xuất của bạn bè,5,5,5,5,Hàng tuần,Đã từng,cho code lên Al sửa,Chưa,
1/21/2024 21:26:29,Nữ,Tiếng Nhật thương mại ,4,"Chat-GPT, Notion",Đề xuất của bạn bè,4,3,4,4,Hàng tháng,Đã từng,Bài luận,Chưa,
1/21/2024 21:38:49,Nữ,Tài chính,4,"Chat-GPT, Google Bard, Notion, Turnitin","Đề xuất của bạn bè, Gợi ý từ các nền tảng mạng xã hội, Các thông tin từ các phương tiện truyền thông (báo chí ,...)",5,5,5,5,Hàng tuần,Chưa,,Đã từng,"Tìm tài liệu, create content"
1/21/2024 21:40:22,Nam,IT,1,Chat-GPT,Gợi ý từ các nền tảng mạng xã hội,3,3,3,4,Hàng tuần,Chưa,,Đã từng,tìm tài liệu
1/21/2024 21:40:58,Nam,Công nghệ thông tin,3,"Chat-GPT, Google Bard, Coursera","Gợi ý từ các nền tảng mạng xã hội, Các thông tin từ các phương tiện truyền thông (báo chí ,...)",4,4,3,3,Hàng tuần,Đã từng,"Cơ sở lập trình, quản trị cơ sở dữ liệu, các môn đại cương tin học,...",Đã từng,"phân tích dữ liệu, tìm ý tưởng,..."
1/21/2024 21:50:47,Nam,CNTT,4,"Chat-GPT, Microsoft Copilot, Grammarly, Notion",Tự tìm hiểu,5,5,5,5,Hàng tuần,Chưa,,Chưa,
1/21/2024 22:11:10,Nữ,Ngôn ngữ hàn,4,"Chat-GPT, Google Bard, Grammarly, Notion","Gợi ý từ các nền tảng mạng xã hội, Các thông tin từ các phương tiện truyền thông (báo chí ,...)",4,4,4,4,Hàng tháng,Đã từng,Kĩ năng viết vb,Chưa,
1/21/2024 22:11:18,Nữ,Ngành công nghệ thông tin,4,"Chat-GPT, Grammarly, Notion, Turnitin, Coursera","Đề xuất của bạn bè, Gợi ý từ các nền tảng mạng xã hội, Các thông tin từ các phương tiện truyền thông (báo chí ,...)",4,4,4,4,Hàng ngày,Đã từng,"Tìm hiểu thêm các thông tin trong các môn học triết, lập trình",Đã từng,Bài kiểm tra và nghiên cứu khoa học
1/21/2024 22:13:27,Nam,Marketing,2,"Chat-GPT, Google Bard, Grammarly, Notion, Turnitin","Các thông tin từ các phương tiện truyền thông (báo chí ,...)",5,4,4,5,Hàng tuần,Đã từng,Nghiên cứu marketing,Đã từng,Tìm dữ liệu thứ cấp phục vụ nghiên cứu
1/21/2024 22:23:42,Nam,Hệ thống thông tin quản lý,4,"Chat-GPT, Notion, Turnitin, Coursera","Các thông tin từ các phương tiện truyền thông (báo chí ,...)",5,5,5,4,Hàng tuần,Đã từng,"Phát triển các ứng dụng web, phát triển hệ thống thông tin quản lý, marketing trực tuyến...",Chưa,
1/21/2024 22:37:14,Nam,Khoa học máy tính,4,"Chat-GPT, Microsoft Copilot, Google Bard, Turnitin, Gemini",Mục đính cá nhân,5,5,4,5,Hàng tuần,Đã từng,"Sử dụng api cho mục đích công việc, cá nhân. Giải đáp các câu hỏi cá nhân",Chưa,
1/21/2024 22:48:03,Nam,Khoa học máy tính,4,"Chat-GPT, Google Bard","Các thông tin từ các phương tiện truyền thông (báo chí ,...)",4,4,4,1,Hàng tuần,Đã từng,"Ielts, Cơ sở lập trình",Chưa,
1/21/2024 22:52:35,Nam,Khoa học máy tính,1,"Chat-GPT, Microsoft Copilot, Google Bard, GPTZero","Đề xuất của bạn bè, Gợi ý từ các nền tảng mạng xã hội, Các thông tin từ các phương tiện truyền thông (báo chí ,...)",5,5,5,5,Hàng tuần,Đã từng,,Đã từng,
1/21/2024 22:56:09,Nam,Khoa học máy tính 65,1,"Chat-GPT, Microsoft Copilot",Biết từ Youtube -> Muốn thử xem thế nào,4,4,4,3,Hàng tuần,Đã từng,"Trong Vật lý đại cương, mình dùng AI để hỗ trợ lên ý tưởng cho báo cáo (mình vẫn tự tích lũy thông tin trên mạng, vì câu trả lời của AI thường quá ngắn và chung chung để thỏa mãn yêu cầu của giáo viên). Ngoài đó, mình sử dụng AI để đưa ví dụ cụ thể của những môn học như Đại số tuyến tính, cũng như giải thích một vài thuật toán phức tạp ở trong Toán rời rạc.",Chưa,
1/21/2024 23:01:38,Nam,CNTT,3,Chat-GPT,Gợi ý từ các nền tảng mạng xã hội,5,3,3,3,Hàng ngày,Đã từng,Kinh tế vĩ mô,Đã từng,Phân tích dữ liệu
1/21/2024 23:02:29,Nữ,Kế toán,1,"Chat-GPT, Google Bard, Grammarly","Gợi ý từ các nền tảng mạng xã hội, Các thông tin từ các phương tiện truyền thông (báo chí ,...)",2,2,3,2,Hiếm khi,Đã từng,Pháp luật đại cương,Chưa,
1/21/2024 23:04:11,Nữ,Kĩ thuật phần mềm,1,"Chat-GPT, Microsoft Copilot, Grammarly, Coursera","Đề xuất của bạn bè, Gợi ý từ các nền tảng mạng xã hội, Các thông tin từ các phương tiện truyền thông (báo chí ,...)",5,5,5,5,Hàng ngày,Đã từng,Chat gpt,Chưa,
1/21/2024 23:04:39,Nam,Hệ thống thông tin quản lý,1,Chat-GPT,"Các thông tin từ các phương tiện truyền thông (báo chí ,...)",4,4,5,5,Hàng tuần,Đã từng,"Hệ thống thông tin quản lý, Pháp luật đại cương, Tin học đại cương, Quản lý học",Chưa,
1/21/2024 23:05:57,Nam,Quản trị kinh doanh,1,Chat-GPT,"Gợi ý từ các nền tảng mạng xã hội, Các thông tin từ các phương tiện truyền thông (báo chí ,...)",3,4,3,3,Hàng tuần,Đã từng,Tôi dùng AI để tìm hiểu về lộ trình học tập của chuyên ngành.,Chưa,
1/21/2024 23:07:08,Nam,Điện tử viễn thông,1,"Chat-GPT, Microsoft Copilot","Đề xuất của bạn bè, Các thông tin từ các phương tiện truyền thông (báo chí ,...)",3,4,3,3,Hàng tuần,Đã từng,Dữ liệu lập trình,Chưa,
1/21/2024 23:12:01,Nam,Mạng máy tính,1,"Chat-GPT, Microsoft Copilot, GPTZero","Đề xuất của bạn bè, Gợi ý từ các nền tảng mạng xã hội",2,5,5,4,Hàng ngày,Đã từng,Xử dụng AI để gải bài tập lập trình,Chưa,
1/21/2024 23:21:35,Nữ,Y Khoa,1,Chat-GPT,"Đề xuất của bạn bè, Gợi ý từ các nền tảng mạng xã hội, Các thông tin từ các phương tiện truyền thông (báo chí ,...)",3,3,3,3,Hiếm khi,Chưa,,Chưa,
1/21/2024 23:21:59,Nam,Kỹ thuật phần mềm,1,Microsoft Copilot,"Các thông tin từ các phương tiện truyền thông (báo chí ,...)",5,3,2,3,Hiếm khi,Chưa,,Chưa,
1/21/2024 23:26:41,Nam,Khoa học máy tính,3,"Chat-GPT, Google Bard, Notion","Đề xuất của bạn bè, Các thông tin từ các phương tiện truyền thông (báo chí ,...)",5,4,5,5,Hàng ngày,Đã từng,"Cơ sở lập trình, Lập trình Web, Cơ sở dữ liệu, ",Đã từng,"Tìm tài liệu, phân tích yêu cầu, tóm tắt tài liệu"
1/21/2024 23:30:54,Nam,CNTT,1,Chat-GPT,Đề xuất của bạn bè,5,5,5,5,Hiếm khi,Đã từng,nhập môn kĩ thuật,Chưa,
1/21/2024 23:36:06,Nữ,Luật,4,Turnitin,Gợi ý từ các nền tảng mạng xã hội,4,4,4,4,Hàng tháng,Đã từng,,Đã từng,
1/21/2024 23:40:03,Nữ,Tài chính doanh nghiệp ,4,"Chat-GPT, Microsoft Copilot, Google Bard, Grammarly, Notion, Turnitin, Coursera","Đề xuất của bạn bè, Gợi ý từ các nền tảng mạng xã hội, Các thông tin từ các phương tiện truyền thông (báo chí ,...)",5,5,5,5,Hàng tháng,Đã từng,"Sửa lỗi chính tả cho bài luận bằng tiếng Anh, tra cứu nội dung các nghị quyết, thông tư",Chưa,
1/21/2024 23:56:20,Nữ,Hệ thống thông tin quản lý ,2,"Chat-GPT, Grammarly, Notion, Coursera",Gợi ý từ các nền tảng mạng xã hội,3,3,4,4,Hàng ngày,Đã từng,"Cơ sở lập trình, quản lý nhà nước trong nền kinh tế, cơ sở dữ liệu",Chưa,
1/22/2024 0:17:07,Nam,Kĩ thuật hàng không ,1,Chat-GPT,Đề xuất của bạn bè,3,3,3,3,Hàng tuần,Đã từng,Kinh tế vĩ mô ,Đã từng,Phân tích dữ liệu
1/22/2024 0:29:50,Nam,Khoa học dữ liệu & Trí tuệ nhân tạo (HUST),1,Chat-GPT,"Các thông tin từ các phương tiện truyền thông (báo chí ,...)",3,3,4,5,Hàng ngày,Đã từng,Nhập môn lập trình,Chưa,
1/22/2024 0:32:02,Nữ,Công nghệ thông tin,graduate,"Chat-GPT, Microsoft Copilot, Google Bard, Grammarly, Notion, Coursera, Edx","Đề xuất của bạn bè, Gợi ý từ các nền tảng mạng xã hội, Các thông tin từ các phương tiện truyền thông (báo chí ,...)",5,5,5,5,Hàng ngày,Đã từng,"Mình ứng dụng AI trong quá trình học lập trình. Mình dùng AI hỏi về các kiến thức chuyên ngành, kiến thức về các câu lệnh, yêu cầu AI hướng dẫn mình lập trình, hoặc thực hành một số nghiệm vụ, yêu cầu AI hỗ trợ khi mình gặp bug. ",Đã từng,"Mình dùng AI để thu thập dữ liệu. Mình yêu cầu AI thu thập dữ liệu về các bài nghiên cứu và sử dụng AI gợi ý dàn bài của bài báo cáo.... Yêu cầu AI hỗ trợ, giải thích một số vấn đề, khái niệm mình không hiểu trong quá trình nghiên cứu"
1/22/2024 1:08:21,Nam,CNTT,4,Chat-GPT,"Đề xuất của bạn bè, Gợi ý từ các nền tảng mạng xã hội",4,4,4,4,Hàng tuần,Đã từng,Quản lý dự and CNTT,Chưa,
1/22/2024 1:45:03,Nam,Kĩ thuật ô tô,1,"Chat-GPT, Microsoft Copilot, Google Bard, Grammarly","Đề xuất của bạn bè, Gợi ý từ các nền tảng mạng xã hội",4,4,4,4,Hàng ngày,Đã từng,Nhập môn công nghệ kĩ thuật ô tô,Chưa,
1/22/2024 2:01:49,Nam,Ngân hàng,1,Chat-GPT,Đề xuất của bạn bè,4,3,3,3,Hàng tháng,Đã từng,kinh tế vĩ mô,Chưa,
1/22/2024 7:34:51,Nữ,Công Nghệ Thông Tin,3,"Chat-GPT, Microsoft Copilot",Đề xuất của bạn bè,4,4,4,4,Hàng tuần,Chưa,,Chưa,
1/22/2024 7:37:15,Nữ,Công nghệ thông tin,3,Chat-GPT,"Các thông tin từ các phương tiện truyền thông (báo chí ,...)",4,4,4,5,Hàng tuần,Đã từng,Dùng ChatGPT để tra code cho các môn lập trình,Chưa,
1/22/2024 7:39:59,Nữ,Công nghệ thông tin,3,"Chat-GPT, Google Bard, Notion",Đề xuất của bạn bè,4,4,4,4,Hàng ngày,Đã từng,"Các công nghệ hiện đại trong công nghệ thông tin, Marketing online, Lập trình Python, Lập trình web,...",Đã từng,"Tìm tài liệu, Viết bài,..."
1/22/2024 8:01:09,Nam,Hệ thống thông tin quản lý,3,Chat-GPT,Gợi ý từ các nền tảng mạng xã hội,5,5,5,5,Hàng tuần,Đã từng,"Tin học đại cương, Quản trị dự án, Tin học kế toán, Quản trị tri thức,.....",Đã từng,"tìm kiếm thông tin về cách phân tích các số liệu mình thu thập được, dử dụng để viết bài, tham khảo nhận xét từ AI"
1/22/2024 8:48:01,Nam,Công nghê thông tin,3,"Chat-GPT, Grammarly",Gợi ý từ các nền tảng mạng xã hội,5,5,5,5,Hàng ngày,Đã từng,"Cơ sở lập trình, Lập trình web, thiết kế web, Công nghệ đa phương tiện, Trí tuệ nhân tạo",Chưa,
1/22/2024 9:00:14,Nam,marketing,1,"Chat-GPT, Microsoft Copilot, Google Bard, Grammarly, Turnitin","Đề xuất của bạn bè, Gợi ý từ các nền tảng mạng xã hội",5,5,5,5,Hàng tháng,Đã từng,thống kê toán,Chưa,
1/22/2024 9:22:01,Nam,CNTT,3,"Chat-GPT, Google Bard, Grammarly","Đề xuất của bạn bè, Các thông tin từ các phương tiện truyền thông (báo chí ,...)",5,3,4,4,Hàng tuần,Đã từng,"kiểm tra lỗi sai của code khi lập trình ( Java,Python) hay khi xây dựng, xử lý cơ sở dữ liệu. Tìm kiếm các khái niệm về hàm, thư viện và ví dụ sử dụng trong lập trình",Chưa,
1/22/2024 9:24:37,Nam,Công Nghệ Thông Tin,3,Chat-GPT,"Gợi ý từ các nền tảng mạng xã hội, Các thông tin từ các phương tiện truyền thông (báo chí ,...)",3,3,3,3,Hàng tháng,Đã từng,"cơ sở lập trình, lập trình web",Chưa,
1/22/2024 9:52:32,Nam,Cntt,3,"Chat-GPT, Microsoft Copilot, Google Bard, Notion","Các thông tin từ các phương tiện truyền thông (báo chí ,...)",4,3,4,4,Hàng tuần,Chưa,,Chưa,
1/22/2024 9:58:32,Nam,khoa học máy tính,1,Microsoft Copilot,Đề xuất của bạn bè,3,3,3,3,Hàng ngày,Đã từng,đã dùng AI để tra những khái niệm cơ bản của pháp luật. thử nhờ AI giải các bài code không biết làm,Chưa,
1/22/2024 10:23:11,Nam,Công nghệ thông tin ,3,"Chat-GPT, Microsoft Copilot, Google Bard, Notion","Gợi ý từ các nền tảng mạng xã hội, Các thông tin từ các phương tiện truyền thông (báo chí ,...)",4,4,4,4,Hàng ngày,Đã từng,Hỏi AI về cách giải bài tập các môn trên,Chưa,
1/22/2024 13:26:21,Nam,CNTT,4,"Chat-GPT, Microsoft Copilot, Grammarly, Notion","Đề xuất của bạn bè, Các thông tin từ các phương tiện truyền thông (báo chí ,...)",4,3,4,4,Hàng tháng,Đã từng,Gen code từ ý tưởng,Đã từng,Tổng hợp thôn tin về nosql
1/22/2024 14:48:55,Nữ,Khoa học máy tính,2,"Grammarly, Coursera","Các thông tin từ các phương tiện truyền thông (báo chí ,...)",3,3,4,3,Hiếm khi,Chưa,,Chưa,
1/22/2024 14:57:56,Nam,Công nghệ Tài chính,4,"Chat-GPT, Google Bard, Grammarly","Đề xuất của bạn bè, Các thông tin từ các phương tiện truyền thông (báo chí ,...)",4,4,5,4,Hàng ngày,Đã từng,"Lập trình R, Quản lý dữ liệu Tài chính và ứng dụng, Phân tích dữ liệu lớn ",Đã từng,Phân tích dữ liệu
1/22/2024 15:18:32,Nữ,KDQT,4,Chat-GPT,"Đề xuất của bạn bè, Gợi ý từ các nền tảng mạng xã hội, Các thông tin từ các phương tiện truyền thông (báo chí ,...)",4,2,4,4,Hàng tuần,Chưa,,Đã từng,"Phân tích dữ liệu, viết bài,"
1/22/2024 17:40:18,Nam,Quản trị Sự kiện ,1,"Chat-GPT, Google Bard, Grammarly, Notion","Đề xuất của bạn bè, Các thông tin từ các phương tiện truyền thông (báo chí ,...)",4,3,4,5,Hàng tuần,Chưa,,Chưa,
1/22/2024 18:00:07,Nữ,Công nghệ thông tin,3,"Chat-GPT, Microsoft Copilot, Google Bard, Notion, Coursera","Đề xuất của bạn bè, Gợi ý từ các nền tảng mạng xã hội, Các thông tin từ các phương tiện truyền thông (báo chí ,...)",5,4,4,4,Hàng ngày,Đã từng,"Hệ quản trị cơ sở dữ liệu, HTTTQL, Phân tích thiết kế hệ thống",Đã từng,"Phân tích dữ liệu, viết bài"
1/22/2024 19:00:16,Nam,IT,2,"Chat-GPT, Google Bard",,3,3,3,3,Hàng ngày,Chưa,,Chưa,
1/22/2024 20:48:41,Nữ,Digital Marketing ,2,"Google Bard, Grammarly, Turnitin, You.ai",Đề xuất của bạn bè,4,4,4,4,Hàng tuần,Đã từng,"Marketing Căn bản, Tư tưởng Hồ Chí Minh, Tài chính Kinh doanh",Đã từng,"Viết bài, kiểm tra ngữ pháp, phân tích dữ liệu"
1/22/2024 21:17:03,Nữ,HTTTQL,3,"Chat-GPT, Google Bard, Turnitin","Đề xuất của bạn bè, Gợi ý từ các nền tảng mạng xã hội, Các thông tin từ các phương tiện truyền thông (báo chí ,...)",3,3,3,3,Hàng tuần,Đã từng,,Đã từng,
1/22/2024 21:39:41,Nam,Công nghệ thông tin ,4,"Chat-GPT, Notion, Turnitin, Coursera","Đề xuất của bạn bè, Gợi ý từ các nền tảng mạng xã hội, Các thông tin từ các phương tiện truyền thông (báo chí ,...)",5,5,5,5,Hàng tuần,Đã từng,"Các môn phải viết báo cáo, hoặc có nhiều định nghĩa không được giải thích",Đã từng,
1/23/2024 20:25:27,Nam,Cntt,3,"Chat-GPT, Microsoft Copilot, Google Bard, Notion, Poe","Các thông tin từ các phương tiện truyền thông (báo chí ,...)",3,3,3,3,Hàng ngày,Đã từng,Csdl,Đã từng,Phân tích
1/23/2024 22:08:19,Nam,kiến trúc và quy hoạch,4,Not use,"Đề xuất của bạn bè, Gợi ý từ các nền tảng mạng xã hội, Các thông tin từ các phương tiện truyền thông (báo chí ,...)",5,5,5,4,Hàng tháng,Chưa,,Chưa,
1/24/2024 10:17:51,Nữ,Tài chính ngân hàng,4,"Chat-GPT, Grammarly, Notion","Đề xuất của bạn bè, Gợi ý từ các nền tảng mạng xã hội",5,4,4,4,Hàng tuần,Đã từng,"Mua bán và sáp nhập, Thực tập giữa khoá",Đã từng,"Kiểm tra chính tả, tìm đề tài "
